( 23, 19, 2.5)
( 24, 19, 5)
( 25, 19, 6.5)
( 26, 19, 5)
( 27, 19, 5)
( 28, 19, 5)
( 29, 19, 5)
( 22, 19, 5)
( 21, 19, 5)
( 20, 19, 5)
( 24, 2, 5)
( 25, 2, 6.5)
( 26, 2, 5)
( 27, 2, 5)
( 22, 5, 5)
( 21, 5, 5)
( 20, 5, 5)
( 0, 5, 8)
( 1, 5, 8)
( 2, 5, 8)
( 3, 5, 8.5)
( 4, 5, 9)
( 5, 5, 9)
( 6, 5, 9)
( 7, 5, 9)
( 8, 5, 9)
( 9, 5, 9)
( 10, 5, 8)
( 11, 5, 8)
( 12, 5, 9)
( 13, 5, 9)
( 14, 5, 9)
( 15, 5, 9)
( 16, 5, 9)
( 17, 5, 9)
( 18, 5, 9)
( 19, 5, 9)
( 0, 12, 4)
( 1, 12, 4)
( 2, 12, 4)
( 3, 12, 4.5)
( 4, 12, 5)
( 5, 12, 5)
( 6, 12, 9)
( 7, 12, 9)
( 8, 12, 9)
( 9, 12, 9)
( 10, 12, 4)
( 11, 12, 5)
( 12, 12, 5)
( 13, 12, 5)
( 14, 12, 5)
( 15, 12, 5)
( 16, 12, 6)
( 17, 12, 6)
( 18, 12,4)
( 19, 12, 4)
(29, 2,4)
( 28, 2, 5)
( 27, 2, 6.5)
( 26, 2, 5)
( 25, 2, 5)
